# Przelewy zaplanowane i zlecenia stale
# stan_na=2026-09-01
# liczba_zlecen=37
# UWAGA: dane syntetyczne. Odbiorcy, kwoty i tytuly sa zmyslone.
id_zlecenia;nr_rachunku;kwota;waluta;data_wykonania;cykl;odbiorca;tytul;status
ZL-2026-0022;35000080542818573625816461;20565.98;PLN;2026-10-21;MIESIECZNY;Zenit-Dystrybucja sp. z o.o.;Czynsz za lokal uzytkowy 10/2026;OCZEKUJACY
ZL-2026-0023;35000080542818573625816461;210273.78;PLN;2026-09-21;MIESIECZNY;lista plac;Wynagrodzenia 09/2026;WSTRZYMANY
ZL-2026-0024;57000070232347884187625369;131857.80;PLN;2026-10-07;JEDNORAZOWY;Bursztynowa-Technika S.A.;Zaplata za dostawe 10/2026;ANULOWANY
ZL-2026-0025;27000091286200793830739251;356.26;PLN;2026-09-25;MIESIECZNY;Iglica-Serwis sp. z o.o.;Abonament telekomunikacyjny 09/2026;OCZEKUJACY
ZL-2026-0026;66000066932411803192144183;240397.83;PLN;2026-10-02;JEDNORAZOWY;rachunek wlasny klienta;Przelew wlasny - zasilenie rachunku 10/2026;OCZEKUJACY
ZL-2026-0027;66000066932411803192144183;142030.04;PLN;2026-09-08;JEDNORAZOWY;rachunek wlasny klienta;Przelew wlasny - zasilenie rachunku 09/2026;OCZEKUJACY
ZL-2026-0028;66000066932411803192144183;19384.65;PLN;2026-09-26;MIESIECZNY;rachunek wlasny banku;Rata kredytu obrotowego 09/2026;OCZEKUJACY
ZL-2026-0029;62000051639301707257277904;4152.39;PLN;2026-09-23;JEDNORAZOWY;Wydma-Montaz sp.k.;Faktura za uslugi ksiegowe 09/2026;OCZEKUJACY
ZL-2026-0030;20000091044502886876731968;26865.85;PLN;2026-09-06;KWARTALNY;Kaskada-Zaopatrzenie sp. z o.o.;Ubezpieczenie floty 09/2026;ANULOWANY
ZL-2026-0031;20000091044502886876731968;42209.37;PLN;2026-10-17;KWARTALNY;Trawers-Handel S.A.;Ubezpieczenie floty 10/2026;OCZEKUJACY
ZL-2026-0032;20000091044502886876731968;247009.26;PLN;2026-10-17;MIESIECZNY;lista plac;Wynagrodzenia 10/2026;OCZEKUJACY
ZL-2026-0033;20000089180903978540630428;347.58;PLN;2026-09-15;MIESIECZNY;Bursztynowa-Technika S.A.;Abonament telekomunikacyjny 09/2026;OCZEKUJACY
ZL-2026-0034;28000012357658272743178349;49831.18;PLN;2026-09-24;JEDNORAZOWY;Bursztynowa-Technika S.A.;Zaplata za dostawe 09/2026;ANULOWANY
ZL-2026-0035;28000012357658272743178349;75693.34;PLN;2026-09-25;MIESIECZNY;rachunek wlasny banku;Rata kredytu obrotowego 09/2026;OCZEKUJACY
ZL-2026-0036;37000079574587053457171349;2731.51;PLN;2026-10-04;JEDNORAZOWY;Wydma-Montaz sp.k.;Faktura za uslugi ksiegowe 10/2026;WSTRZYMANY
ZL-2026-0037;37000079574587053457171349;125551.19;PLN;2026-09-12;JEDNORAZOWY;Iglica-Serwis sp. z o.o.;Zaplata za dostawe 09/2026;ANULOWANY
