# Wyciag bankowy - eksport z systemu transakcyjnego
# okres=2026-08-01..2026-08-31
# liczba_operacji=400
# suma_kontrolna_grosze=1322594456
# UWAGA: dane syntetyczne. Numery rachunkow sa fikcyjne i nie naleza do zadnego banku.
id;nr_rachunku;kwota;waluta;typ;data_ksiegowania;data_waluty;tytul
OP-2026-08-0043;40000079307414474550865224;2175.37;PLN;MA;2026-08-16T11:26:31;2026-08-16;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0044;62000051639301707257277904;1753.60;PLN;MA;2026-08-13T09:42:11;2026-08-13;Zapłata za fakturę FV/2026/08/0147 - Zakład Usług Leśnych DĄB
OP-2026-08-0045;69000051621545367658586896;161395.05;PLN;WN;2026-08-31T06:40:58;2026-08-31;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0046;63000014422604270410931945;15227.13;PLN;WN;2026-08-25T19:33:45;2026-08-26;Przelew za fakturę FV/2026/08/0527 - Przedsiębiorstwo Wodociągów Żółtańce
OP-2026-08-0047;89000048016279458747470461;37748.59;PLN;WN;2026-08-23T09:31:34;2026-08-23;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0048;57000070232347884187625369;1969.08;PLN;WN;2026-08-01T17:53:01;2026-08-01;Wynagrodzenie za 08/2026 - lista płac nr 0779
OP-2026-08-0049;75000029180296838917099750;91463.39;PLN;MA;2026-08-22T06:49:17;2026-08-22;Przelew przychodzący od GASTRO-ŁĄCZNIK SP. J.
OP-2026-08-0050;66000066932411803192144183;1312.64;PLN;WN;2026-08-15T18:36:07;2026-08-15;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0051;20000091044502886876731968;387.16;PLN;WN;2026-08-08T20:48:57;2026-08-08;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0052;62000051639301707257277904;13334.39;PLN;MA;2026-08-09T08:10:21;2026-08-10;Zapłata za fakturę nr 0405/2026 - usługi księgowe
OP-2026-08-0053;20000091044502886876731968;8751.96;PLN;WN;2026-08-07T10:44:44;2026-08-07;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0054;40000059668051599065577496;3956.16;PLN;MA;2026-08-11T09:37:10;2026-08-11;Zapłata za fakturę nr 0339/2026 - usługi księgowe
OP-2026-08-0055;27000091286200793830739251;772.23;PLN;WN;2026-08-25T06:07:19;2026-08-25;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0056;40000079307414474550865224;518.23;PLN;WN;2026-08-13T15:41:48;2026-08-13;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0057;20000089180903978540630428;36845.67;PLN;WN;2026-08-17T18:56:14;2026-08-17;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0058;98000088845310787428793669;15379.98;PLN;WN;2026-08-28T07:51:21;2026-08-28;Płatność kartą - Przedsiębiorstwo Wodociągów Żółtańce
OP-2026-08-0059;89000048016279458747470461;5760.32;PLN;MA;2026-08-11T09:13:15;2026-08-11;Rozliczenie prowizji 08/2026
OP-2026-08-0060;27000091286200793830739251;58030.97;PLN;WN;2026-08-09T10:49:24;2026-08-09;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0061;35000080542818573625816461;5794.09;EUR;MA;2026-08-10T07:21:54;2026-08-10;Wpłata gotówkowa - wpłatomat nr 0881
OP-2026-08-0062;67000055626925155200330652;1231.73;PLN;WN;2026-08-15T17:22:50;2026-08-15;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0063;28000012357658272743178349;47651.25;PLN;MA;2026-08-15T15:20:07;2026-08-16;Rozliczenie prowizji 08/2026
OP-2026-08-0064;97000037896883553906954094;278.12;PLN;WN;2026-08-13T19:29:25;2026-08-14;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0065;16000043230730175891481509;654.82;PLN;WN;2026-08-14T15:37:25;2026-08-14;Rata kredytu obrotowego nr 0579/2026
OP-2026-08-0066;38000010313748484247483754;42852.66;PLN;WN;2026-08-10T09:05:55;2026-08-10;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0067;92000020903497063318316444;7339.70;PLN;MA;2026-08-24T16:17:43;2026-08-25;Wpłata gotówkowa - wpłatomat nr 0656
OP-2026-08-0068;43000041138574671909897331;225842.26;PLN;MA;2026-08-09T09:40:23;2026-08-09;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0069;50000052964320234588417028;2417.40;PLN;MA;2026-08-23T11:22:01;2026-08-24;Wpływ z tytułu umowy najmu lokalu nr 0844
OP-2026-08-0070;57000070232347884187625369;728.46;PLN;WN;2026-08-19T12:36:06;2026-08-19;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0071;27000091286200793830739251;77995.60;PLN;WN;2026-08-10T15:44:07;2026-08-10;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0072;37000079574587053457171349;1902.61;PLN;WN;2026-08-06T11:08:09;2026-08-06;Płatność kartą - DRUKARNIA CYFROWA GRAFPOL
OP-2026-08-0073;75000029180296838917099750;2891.42;PLN;WN;2026-08-31T06:03:57;2026-08-31;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0074;75000029180296838917099750;117033.56;PLN;MA;2026-08-30T10:07:32;2026-08-30;Wpłata gotówkowa - wpłatomat nr 0453
OP-2026-08-0075;28000012357658272743178349;1840.46;PLN;WN;2026-08-22T18:56:15;2026-08-22;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0076;69000051621545367658586896;677.63;PLN;WN;2026-08-03T15:24:16;2026-08-03;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0077;63000014422604270410931945;1224.12;PLN;WN;2026-08-12T17:47:08;2026-08-12;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0078;28000012357658272743178349;1945.87;PLN;WN;2026-08-18T16:55:37;2026-08-18;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0079;50000052964320234588417028;123929.04;PLN;WN;2026-08-28T20:47:49;2026-08-28;Płatność kartą - DRUKARNIA CYFROWA GRAFPOL
OP-2026-08-0080;89000048016279458747470461;11496.80;PLN;MA;2026-08-11T10:10:14;2026-08-11;Wpłata gotówkowa - wpłatomat nr 0814
OP-2026-08-0081;35000080542818573625816461;80536.12;PLN;MA;2026-08-07T09:57:04;2026-08-07;Przelew przychodzący od Przedsiębiorstwo Wodociągów Żółtańce
OP-2026-08-0082;67000055626925155200330652;51308.73;PLN;MA;2026-08-03T08:02:42;2026-08-04;Rozliczenie prowizji 08/2026
OP-2026-08-0083;89000048016279458747470461;1702.49;PLN;MA;2026-08-30T13:09:09;2026-08-30;Przelew przychodzący od BUDIMEX-PODLASIE SP. Z O.O.
OP-2026-08-0084;35000080542818573625816461;56067.07;PLN;WN;2026-08-12T16:56:38;2026-08-13;Płatność kartą - Hurtownia Elektryczna ŚWIATŁO-MAX
OP-2026-08-0085;43000041138574671909897331;1893.97;PLN;MA;2026-08-26T18:43:59;2026-08-26;Wpłata gotówkowa - wpłatomat nr 0949
OP-2026-08-0086;50000052964320234588417028;6834.11;PLN;MA;2026-08-12T08:59:26;2026-08-12;Wpłata gotówkowa - wpłatomat nr 0931
OP-2026-08-0087;20000091044502886876731968;17614.25;PLN;WN;2026-08-10T11:37:36;2026-08-10;Wynagrodzenie za 08/2026 - lista płac nr 0346
OP-2026-08-0088;40000059668051599065577496;28399.34;PLN;MA;2026-08-14T20:34:21;2026-08-14;Wpłata gotówkowa - wpłatomat nr 0331
OP-2026-08-0089;97000041420766781110573017;37519.12;PLN;WN;2026-08-21T19:02:38;2026-08-21;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0090;20000091044502886876731968;183460.96;PLN;WN;2026-08-01T09:42:38;2026-08-01;Przelew za fakturę FV/2026/08/0029 - Agencja Ochrony STRAŻNIK
OP-2026-08-0091;38000010313748484247483754;2260.87;PLN;MA;2026-08-21T13:58:05;2026-08-21;Przelew przychodzący od PIEKARNIA U JĘDRZEJA
OP-2026-08-0092;35000080542818573625816461;6386.19;PLN;WN;2026-08-01T19:12:14;2026-08-01;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0093;63000014422604270410931945;42.62;PLN;MA;2026-08-24T18:37:18;2026-08-25;Zapłata za fakturę nr 0027/2026 - usługi księgowe
OP-2026-08-0094;16000043230730175891481509;12571.01;PLN;MA;2026-08-29T17:21:15;2026-08-29;Zapłata za fakturę FV/2026/08/0335 - DRUKARNIA CYFROWA GRAFPOL
OP-2026-08-0095;69000051621545367658586896;460.32;PLN;WN;2026-08-15T20:27:52;2026-08-15;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0096;37000079574587053457171349;1796.46;PLN;MA;2026-08-05T09:54:43;2026-08-05;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0097;69000051621545367658586896;81093.72;PLN;WN;2026-08-31T18:35:03;2026-08-31;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0098;66000066932411803192144183;69767.24;PLN;MA;2026-08-13T18:50:39;2026-08-13;Zapłata za fakturę nr 0130/2026 - usługi księgowe
OP-2026-08-0099;67000055626925155200330652;18924.31;PLN;WN;2026-08-22T18:37:53;2026-08-22;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0100;67000055626925155200330652;825.63;PLN;WN;2026-08-03T06:25:05;2026-08-03;Płatność kartą - Agencja Ochrony STRAŻNIK
OP-2026-08-0101;92000020903497063318316444;62795.50;PLN;MA;2026-08-19T17:47:39;2026-08-19;Zapłata za fakturę FV/2026/08/0604 - BUDIMEX-PODLASIE SP. Z O.O.
OP-2026-08-0102;62000051639301707257277904;16154.94;PLN;MA;2026-08-21T12:52:22;2026-08-21;Wpłata gotówkowa - wpłatomat nr 0889
OP-2026-08-0103;16000043230730175891481509;5011.76;PLN;MA;2026-08-07T15:00:30;2026-08-07;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0104;69000051621545367658586896;14609.63;PLN;WN;2026-08-21T08:30:27;2026-08-22;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0105;27000091286200793830739251;14821.94;PLN;WN;2026-08-30T07:05:07;2026-08-30;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0106;89000048016279458747470461;30251.56;PLN;WN;2026-08-12T06:47:42;2026-08-13;Rata kredytu obrotowego nr 0506/2026
OP-2026-08-0107;98000088845310787428793669;486.11;PLN;WN;2026-08-02T13:40:40;2026-08-02;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0108;62000051639301707257277904;1075.40;PLN;MA;2026-08-08T06:12:36;2026-08-08;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0109;35000080542818573625816461;72417.76;PLN;WN;2026-08-26T11:29:06;2026-08-26;Wynagrodzenie za 08/2026 - lista płac nr 0519
OP-2026-08-0110;75000029180296838917099750;6650.27;EUR;MA;2026-08-14T08:57:08;2026-08-14;Przelew przychodzący od PIEKARNIA U JĘDRZEJA
OP-2026-08-0111;98000088845310787428793669;1843.06;PLN;WN;2026-08-26T16:10:32;2026-08-26;Wynagrodzenie za 08/2026 - lista płac nr 0442
OP-2026-08-0112;20000091044502886876731968;6857.75;PLN;MA;2026-08-05T10:58:08;2026-08-05;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0113;89000048016279458747470461;158219.02;PLN;WN;2026-08-04T14:11:30;2026-08-04;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0114;69000051621545367658586896;1975.24;PLN;MA;2026-08-14T17:07:39;2026-08-14;Zapłata za fakturę FV/2026/08/0045 - Hurtownia Elektryczna ŚWIATŁO-MAX
OP-2026-08-0115;57000070232347884187625369;787.70;PLN;WN;2026-08-01T16:01:51;2026-08-01;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0116;92000020903497063318316444;16042.21;PLN;MA;2026-08-08T16:56:46;2026-08-09;Zapłata za fakturę nr 0900/2026 - usługi księgowe
OP-2026-08-0117;89000048016279458747470461;9193.98;USD;MA;2026-08-08T17:01:07;2026-08-08;Wpłata gotówkowa - wpłatomat nr 0131
OP-2026-08-0118;75000029180296838917099750;1457.83;PLN;WN;2026-08-16T16:38:59;2026-08-16;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0119;37000079574587053457171349;547.10;PLN;MA;2026-08-22T16:22:21;2026-08-22;Zapłata za fakturę FV/2026/08/0477 - Agencja Ochrony STRAŻNIK
OP-2026-08-0120;16000043230730175891481509;34678.13;PLN;MA;2026-08-01T09:29:07;2026-08-01;Przelew przychodzący od TRANSPORT MIĘDZYNARODOWY KOWALCZYK
OP-2026-08-0121;69000051621545367658586896;1327.63;PLN;WN;2026-08-13T20:15:15;2026-08-13;Przelew za fakturę FV/2026/08/0109 - Przedsiębiorstwo Wodociągów Żółtańce
OP-2026-08-0122;20000089180903978540630428;1669.49;PLN;MA;2026-08-13T10:10:20;2026-08-13;Zapłata za fakturę FV/2026/08/0860 - Kancelaria Radców Prawnych Małecki i Wspólnicy
OP-2026-08-0123;43000041138574671909897331;84867.55;PLN;MA;2026-08-14T10:47:33;2026-08-14;Wpływ z tytułu umowy najmu lokalu nr 0450
OP-2026-08-0124;20000089180903978540630428;15055.18;PLN;WN;2026-08-08T12:30:21;2026-08-08;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0125;75000029180296838917099750;16020.41;PLN;MA;2026-08-06T13:39:06;2026-08-06;Wpłata gotówkowa - wpłatomat nr 0234
OP-2026-08-0126;16000043230730175891481509;190997.82;PLN;WN;2026-08-01T19:45:56;2026-08-02;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0127;75000029180296838917099750;542.60;PLN;WN;2026-08-21T17:58:08;2026-08-22;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0128;40000059668051599065577496;104640.00;PLN;MA;2026-08-15T12:40:21;2026-08-15;Wpłata gotówkowa - wpłatomat nr 0069
OP-2026-08-0129;20000089180903978540630428;15843.68;PLN;WN;2026-08-23T19:25:20;2026-08-23;Wynagrodzenie za 08/2026 - lista płac nr 0854
OP-2026-08-0130;69000051621545367658586896;96588.71;PLN;MA;2026-08-06T06:15:11;2026-08-06;Wpływ z tytułu umowy najmu lokalu nr 0403
OP-2026-08-0131;20000091044502886876731968;1519.51;PLN;MA;2026-08-17T10:13:33;2026-08-17;Zapłata za fakturę nr 0779/2026 - usługi księgowe
OP-2026-08-0132;98000088845310787428793669;1853.54;PLN;MA;2026-08-10T10:46:25;2026-08-10;Wpływ z tytułu umowy najmu lokalu nr 0294
OP-2026-08-0133;62000051639301707257277904;8978.84;PLN;MA;2026-08-28T12:50:48;2026-08-29;Wpłata gotówkowa - wpłatomat nr 0605
OP-2026-08-0134;38000010313748484247483754;1774.26;PLN;WN;2026-08-24T15:26:16;2026-08-24;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0135;27000091286200793830739251;200004.97;PLN;WN;2026-08-26T20:53:09;2026-08-26;Przelew za fakturę FV/2026/08/0901 - DRUKARNIA CYFROWA GRAFPOL
OP-2026-08-0136;43000041138574671909897331;160.14;PLN;WN;2026-08-04T10:50:14;2026-08-04;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0137;69000051621545367658586896;81337.68;PLN;WN;2026-08-30T17:18:05;2026-08-30;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0138;27000091286200793830739251;1264.38;PLN;MA;2026-08-15T11:35:51;2026-08-15;Wpłata gotówkowa - wpłatomat nr 0311
OP-2026-08-0139;38000010313748484247483754;12100.77;PLN;MA;2026-08-21T08:45:22;2026-08-21;Zapłata za fakturę nr 0974/2026 - usługi księgowe
OP-2026-08-0140;16000043230730175891481509;87311.10;PLN;MA;2026-08-10T18:24:06;2026-08-10;Zapłata za fakturę FV/2026/08/0697 - PIEKARNIA U JĘDRZEJA
OP-2026-08-0141;66000066932411803192144183;165394.77;PLN;WN;2026-08-10T06:57:57;2026-08-10;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0142;28000012357658272743178349;6807.71;EUR;MA;2026-08-04T10:10:13;2026-08-05;Wpływ z tytułu umowy najmu lokalu nr 0327
OP-2026-08-0143;57000070232347884187625369;2871.23;PLN;WN;2026-08-11T10:00:17;2026-08-11;Płatność kartą - BUDIMEX-PODLASIE SP. Z O.O.
OP-2026-08-0144;20000091044502886876731968;2507.25;PLN;MA;2026-08-20T17:10:34;2026-08-20;Przelew przychodzący od Biuro Rachunkowe SALDO
OP-2026-08-0145;37000079574587053457171349;1397.92;PLN;WN;2026-08-17T14:13:24;2026-08-17;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0146;66000066932411803192144183;19876.09;PLN;WN;2026-08-26T18:35:25;2026-08-26;Zaliczka na podatek PIT-4 za 08/2026
OP-2026-08-0147;38000010313748484247483754;1809.39;PLN;WN;2026-08-30T09:44:11;2026-08-30;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0148;98000088845310787428793669;36.01;PLN;WN;2026-08-28T15:20:31;2026-08-28;Wynagrodzenie za 08/2026 - lista płac nr 0826
OP-2026-08-0149;27000091286200793830739251;16717.74;PLN;WN;2026-08-07T17:44:23;2026-08-08;Wynagrodzenie za 08/2026 - lista płac nr 0176
OP-2026-08-0150;28000012357658272743178349;981.06;PLN;WN;2026-08-09T19:00:01;2026-08-09;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0151;37000079574587053457171349;49342.37;PLN;WN;2026-08-24T15:51:23;2026-08-24;Przelew za fakturę FV/2026/08/0528 - Przedsiębiorstwo Wodociągów Żółtańce
OP-2026-08-0152;28000012357658272743178349;1736.06;PLN;WN;2026-08-20T08:18:58;2026-08-21;Płatność kartą - TRANSPORT MIĘDZYNARODOWY KOWALCZYK
OP-2026-08-0153;27000091286200793830739251;64591.86;PLN;WN;2026-08-20T10:32:55;2026-08-20;Czynsz za lokal użytkowy 08/2026
OP-2026-08-0154;63000014422604270410931945;1446.16;PLN;MA;2026-08-27T15:47:54;2026-08-27;Przelew przychodzący od DRUKARNIA CYFROWA GRAFPOL
OP-2026-08-0155;35000080542818573625816461;4898.49;PLN;MA;2026-08-01T07:13:03;2026-08-01;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0156;35000080542818573625816461;9571.56;USD;WN;2026-08-29T13:55:10;2026-08-29;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0157;38000010313748484247483754;15718.96;PLN;WN;2026-08-18T18:58:28;2026-08-19;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0158;66000066932411803192144183;19640.79;PLN;WN;2026-08-16T07:27:53;2026-08-16;Przelew własny - zasilenie rachunku pomocniczego
OP-2026-08-0159;63000014422604270410931945;1035.90;PLN;WN;2026-08-01T13:38:19;2026-08-01;Opłata abonamentowa - usługi telekomunikacyjne
OP-2026-08-0160;50000052964320234588417028;58337.05;PLN;WN;2026-08-18T17:21:43;2026-08-18;Rata kredytu obrotowego nr 0589/2026
OP-2026-08-0161;57000070232347884187625369;1926.10;PLN;WN;2026-08-16T19:38:22;2026-08-16;Składka ZUS 08/2026 - ubezpieczenie społeczne
OP-2026-08-0162;20000089180903978540630428;4924.91;USD;MA;2026-08-26T19:50:56;2026-08-26;Wpłata gotówkowa - wpłatomat nr 0315
OP-2026-08-0163;40000079307414474550865224;24915.49;PLN;MA;2026-08-03T16:32:01;2026-08-03;Rozliczenie prowizji 08/2026
OP-2026-08-0164;98000088845310787428793669;50429.71;PLN;WN;2026-08-25T08:21:47;2026-08-25;Wynagrodzenie za 08/2026 - lista płac nr 0184
OP-2026-08-0165;97000037896883553906954094;661.82;PLN;MA;2026-08-14T11:03:04;2026-08-14;Wpłata gotówkowa - wpłatomat nr 0974
OP-2026-08-0166;98000088845310787428793669;18034.82;PLN;WN;2026-08-05T17:57:08;2026-08-05;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0167;89000048016279458747470461;82299.38;PLN;WN;2026-08-16T08:14:18;2026-08-16;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0168;63000014422604270410931945;1875.36;PLN;MA;2026-08-12T14:00:42;2026-08-13;Zwrot nadpłaty za okres 08/2026
OP-2026-08-0169;50000052964320234588417028;175767.31;PLN;WN;2026-08-20T12:28:32;2026-08-20;Opłata za prowadzenie rachunku bieżącego
OP-2026-08-0170;69000051621545367658586896;29769.72;PLN;MA;2026-08-31T20:33:01;2026-08-31;Przelew przychodzący od PIEKARNIA U JĘDRZEJA
OP-2026-08-0171;98000088845310787428793669;1894.08;PLN;WN;2026-08-26T11:57:22;2026-08-27;Rata kredytu obrotowego nr 0342/2026
OP-2026-08-0172;62000051639301707257277904;256.41;PLN;MA;2026-08-01T16:29:43;2026-08-01;Wpływ z tytułu umowy najmu lokalu nr 0022
OP-2026-08-0173;28000012357658272743178349;67412.76;PLN;MA;2026-08-27T14:53:44;2026-08-28;Zwrot nadpłaty za okres 08/2026
