# Karty platnicze wydane do rachunkow z katalogu
# stan_na=2026-09-01
# liczba_kart=40
# UWAGA: dane syntetyczne. Numery kart sa maskowane, nie przechodza walidacji Luhna
# i nie odpowiadaja zadnej istniejacej karcie. Imiona i nazwiska sa zmyslone.
id_karty;nr_rachunku;numer_maskowany;typ;status;limit_dzienny;waluta;wazna_do;posiadacz
KP-0016;43000041138574671909897331;4225 **** **** 1758;DEBETOWA;AKTYWNA;2000.00;PLN;2027-07;Lukasz Sowinski
KP-0017;98000088845310787428793669;4967 **** **** 2416;DEBETOWA;WYGASLA;10000.00;PLN;2026-06;Barbara Grabarczyk
KP-0018;98000088845310787428793669;4630 **** **** 2431;DEBETOWA;AKTYWNA;10000.00;PLN;2028-11;Piotr Kwiatoniowa
KP-0019;69000051621545367658586896;4649 **** **** 5482;DEBETOWA;ZASTRZEZONA;5000.00;PLN;2027-01;Grzegorz Zaleski
KP-0020;69000051621545367658586896;4420 **** **** 6538;DEBETOWA;AKTYWNA;50000.00;PLN;2027-06;Monika Kotlarek
KP-0021;16000043230730175891481509;4914 **** **** 8816;DEBETOWA;AKTYWNA;15000.00;PLN;2029-11;Lukasz Zarembina
KP-0022;16000043230730175891481509;4942 **** **** 2905;DEBETOWA;AKTYWNA;50000.00;PLN;2027-03;Monika Nadolny
KP-0023;35000080542818573625816461;4219 **** **** 9888;DEBETOWA;AKTYWNA;2000.00;PLN;2029-04;Karolina Rembowski
KP-0024;35000080542818573625816461;4289 **** **** 4961;KREDYTOWA;AKTYWNA;2000.00;PLN;2027-03;Damian Kwiatoniowa
KP-0025;57000070232347884187625369;4279 **** **** 1234;KREDYTOWA;WYGASLA;15000.00;PLN;2026-06;Marek Zaleski
KP-0026;57000070232347884187625369;4673 **** **** 4394;DEBETOWA;AKTYWNA;10000.00;PLN;2029-10;Damian Rembowski
KP-0027;67000055626925155200330652;4620 **** **** 2459;DEBETOWA;AKTYWNA;50000.00;PLN;2027-12;Grzegorz Trzaska
KP-0028;27000091286200793830739251;4822 **** **** 6332;KREDYTOWA;AKTYWNA;10000.00;PLN;2028-07;Grzegorz Zaleski
KP-0029;66000066932411803192144183;4356 **** **** 5070;KREDYTOWA;AKTYWNA;15000.00;PLN;2027-07;Krzysztof Pietrasz
KP-0030;66000066932411803192144183;4346 **** **** 3029;DEBETOWA;AKTYWNA;2000.00;PLN;2028-12;Damian Zaleski
KP-0031;66000066932411803192144183;4839 **** **** 7018;DEBETOWA;ZASTRZEZONA;15000.00;PLN;2029-09;Tomasz Rembowski
KP-0032;62000051639301707257277904;4941 **** **** 6179;DEBETOWA;ZASTRZEZONA;50000.00;PLN;2028-05;Anna Rembowski
KP-0033;62000051639301707257277904;4745 **** **** 3337;DEBETOWA;ZASTRZEZONA;2000.00;PLN;2029-01;Agnieszka Miedzianka
KP-0034;20000091044502886876731968;4402 **** **** 7995;DEBETOWA;AKTYWNA;10000.00;PLN;2027-02;Iwona Kotlarek
KP-0035;20000089180903978540630428;4023 **** **** 1794;DEBETOWA;AKTYWNA;15000.00;PLN;2027-09;Anna Miedzianka
KP-0036;20000089180903978540630428;4780 **** **** 1159;DEBETOWA;AKTYWNA;2000.00;PLN;2029-07;Monika Zaleski
KP-0037;28000012357658272743178349;4040 **** **** 8559;DEBETOWA;WYGASLA;25000.00;PLN;2026-07;Damian Jaskolka
KP-0038;28000012357658272743178349;4211 **** **** 4985;DEBETOWA;AKTYWNA;2000.00;PLN;2029-10;Joanna Trzaska
KP-0039;37000079574587053457171349;4035 **** **** 2940;DEBETOWA;AKTYWNA;50000.00;PLN;2027-03;Krzysztof Sowinski
KP-0040;37000079574587053457171349;4763 **** **** 8737;DEBETOWA;WYGASLA;15000.00;PLN;2026-08;Rafal Wilczur
